,id,name,area,total,lat,lng
0,501201002,捷運美麗島站(2號出口),新興區,40,22.63035,120.30175
1,501201003,捷運美麗島站(5號出口),新興區,23,22.63118,120.3031
2,501201004,七賢洛陽街口,新興區,15,22.63416,120.30945
3,501201005,中山七賢路口西南側,新興區,19,22.63422,120.30209
4,501201006,中山八德路口西南側,新興區,28,22.63565,120.30219
5,501201007,新興高中,新興區,19,22.62399,120.30346
6,501201008,新興公園西南側,新興區,25,22.63601,120.31219
7,501201009,中正和平路口西北側,新興區,20,22.63041,120.31771
8,501201010,六合錦田路口,新興區,10,22.63235,120.31097
9,501201011,捷運信義國小站(5號出口),新興區,22,22.63073,120.31292
10,501201012,高雄市財稅行政大樓,新興區,18,22.63069,120.30977
11,501201013,復興民權街口,新興區,22,22.62418,120.30883
12,501201014,忠孝公園,新興區,19,22.62717,120.30575
13,501201015,捷運中央公園站(2號出口),新興區,25,22.62389,120.30124
14,501201016,捷運中央公園站(3號出口),新興區,26,22.62684,120.30152
15,501201017,捷運美麗島站(9號出口),新興區,27,22.63252,120.30203
16,501201018,捷運信義國小站(1號出口),新興區,21,22.63108,120.3103
17,501201019,六合公園(七賢路),新興區,28,22.6342,120.3059
18,501201020,中山民生圓環,新興區,24,22.6279,120.30149
19,501201021,捷運美麗島站(7號出口),新興區,15,22.63143,120.30343
20,501201022,捷運美麗島站(6號出口),新興區,16,22.63111,120.30431
21,501201023,民族八德路口,新興區,28,22.63539,120.31341
22,501201024,高雄高商(復興路),新興區,24,22.62516,120.30845
23,501201025,民權民生路口,新興區,24,22.62723,120.31086
24,501201026,大同國小(大同路),新興區,15,22.62823,120.29895
25,501201027,民族河南路口,新興區,11,22.63612,120.31388
26,501201028,七賢民族二路口,新興區,20,22.63388,120.3131
27,501201029,六合公園(六合一路),新興區,13,22.632833,120.30553
28,501201030,中正忠孝一路口,新興區,15,22.63098,120.30621
29,501202001,中正民族路口(東南角),苓雅區,14,22.63044,120.31367
30,501202002,捷運文化中心站(2號出口),苓雅區,27,22.63015,120.31772
31,501202003,苓雅國中,苓雅區,30,22.61855,120.30719
32,501202004,高雄師範大學(學生宿舍),苓雅區,42,22.62664,120.31948
33,501202005,高雄師範大學(活動中心),苓雅區,26,22.62388,120.32054
34,501202006,自來水公園,苓雅區,16,22.62758,120.31492
35,501202007,中正高中,苓雅區,19,22.62618,120.33826
36,501202009,泰順河南路口,苓雅區,16,22.63192,120.31984
37,501202010,捷運衛武營站(4號出口),苓雅區,22,22.62499,120.34177
38,501202011,正道公園,苓雅區,15,22.63461,120.33539
39,501202012,苓雅中正國小,苓雅區,20,22.63027,120.3333
